Item No.,Item Name,Description,Quantity,Price per Unit ($),Total Price ($),Link
1,VL53L9CXV0VE/1,3DToF,1,—,—,LCSC ↗
2,VEML7700-TR,ALS,1,$0.1073,$0.1073,LCSC ↗
3,BNO080,BNO080 IMU,1,$0.3798,$0.3798,LCSC ↗
4,CL03A104KO3NNNC,"C1,C2,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C17,C22,C23,C24,C25,C26,C27,C28,C29",22,$0.0005,$0.0110,LCSC ↗
5,0402CG220J500NT,"C3,C5",2,$0.0009,$0.0018,LCSC ↗
6,FVH010ADA101M0554,C16,1,$0.0052,$0.0052,LCSC ↗
8,GRM0332C1H101JA01D,C19,1,$0.0005,$0.0005,LCSC ↗
9,CM03X5R475M06AH055,C20,1,$0.0082,$0.0082,LCSC ↗
10,5017,"CN1,CN2",2,$0.0059,$0.0118,LCSC ↗
11,TCS34725FN,Color Sensor,1,$0.9413,$0.9413,LCSC ↗
12,L76KB-A58,GPS Module L76X,1,$0.6528,$0.6528,LCSC ↗
13,U.FL-R-SMT-1(10),JP1,1,$0.0336,$0.0336,LCSC ↗
14,LQP03TN47NH02D,L1,1,$0.0009,$0.0009,LCSC ↗
15,KT-0805W,LED1,1,$0.0030,$0.0030,LCSC ↗
16,YLED0402P,LED3,1,$0.0025,$0.0025,LCSC ↗
17,INMP441,MIC1,1,$3.6796,$3.6796,LCSC ↗
18,BSS138,"Q1,Q2,Q3,Q4,Q5,Q6",6,$0.0021,$0.0126,LCSC ↗
19,CJ1012,Q7,1,$0.0062,$0.0062,LCSC ↗
20,FRC0201F4701TS,"R1,R2,R4,R5,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R25",18,$0.0002,$0.0036,LCSC ↗
21,RC0201JR-0710KL,"R3,R6,R7",3,$0.0002,$0.0006,LCSC ↗
22,CRCW04020000Z0ED,"R8,R9,R22,R26,R27",5,$0.0005,$0.0025,LCSC ↗
23,RMC04022.7K1%N,"R24,R28",2,$0.0004,$0.0008,LCSC ↗
24,BX-TS-26-3425TP,"RST,U4",2,$0.0071,$0.0142,LCSC ↗
25,MCP9808-E/MS,Temp.,1,$0.2850,$0.2850,LCSC ↗
26,40-Pin Female Header,U1,1,—,—,LCSC ↗
27,WS2812B-2427-V6,"U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U27,U28,U29,U30,U31",25,$0.0158,$0.3950,LCSC ↗
28,LPS22HHTR,U34,1,$0.3918,$0.3918,LCSC ↗
29,AMS1117-3.3V,U35,1,$0.0096,$0.0096,LCSC ↗
30,AMS1117-1.2V,U36,1,—,—,LCSC ↗
31,AMS1117-1.8V,U37,1,$0.0078,$0.0078,LCSC ↗
32,SC-32S32.768kHz20PPM12.5pF,X1,1,$0.0269,$0.0269,LCSC ↗
33,Custom PCB,"Pi Essential HAT PCB (JLCPCB, 5pcs)",5,$1.0000,$5.0000,JLCPCB ↗
,GRAND TOTAL,,,,$12.00,
